Chromosome,Start,End,Length_exon1,Length_exon2,Strand
chr11,81270,2445008,91,127,+
chr11,196955,1389934,95,86,+
chr11,6611011,6611958,155,65,-
chr11,10450691,10507579,226,205,+
chr11,11841972,11961887,114,139,+
chr11,13668668,13732346,196,176,+
chr11,18532487,18588613,85,66,-
chr11,27339035,27362836,139,108,-
chr11,27369143,27472118,72,72,-
chr11,33742084,33774394,90,164,-
chr11,45244356,45286025,226,135,-
chr11,60785333,60801305,205,120,+
chr11,61333228,61349242,112,190,+
chr11,61362374,61369509,267,172,+
chr11,61873865,61891169,111,198,-
chr11,62625924,62646562,105,109,-
chr11,62663159,62665131,125,98,-
chr11,63463595,63490887,121,106,-
chr11,64591220,64602344,104,155,+
chr11,65079187,65083933,95,66,-
chr11,65598628,65613018,181,149,-
chr11,65998743,66001910,174,109,-
chr11,67398645,67401728,132,231,-
chr11,67642939,67650583,74,256,-
chr11,68010327,68029276,163,111,+
chr11,69048932,69090597,65,77,+
chr11,72216794,72221950,174,189,+
chr11,73975121,73982721,157,225,-
chr11,74001526,74008978,221,211,-
chr11,93330742,93438470,73,172,+
chr11,111467681,111512181,199,138,-
chr11,114400666,114410607,163,88,+
chr11,117199294,117207465,192,178,+
chr11,124954202,125041489,186,150,+
chr12,564681,663328,229,185,-
chr12,6329622,6341776,154,129,-
chr12,8513503,8522366,93,111,+
chr12,8989546,9010751,105,170,+
chr12,24818049,24948927,72,201,-
chr12,25052706,25108335,81,97,+
chr12,26938470,26966648,149,118,+
chr12,48654175,48682187,260,179,-
chr12,49065192,49069734,72,68,-
chr12,51888103,51891727,251,130,+
chr12,53191636,53207202,123,204,-
chr12,53481280,53499427,174,209,-
chr12,56451465,56454254,165,81,-
chr12,56638423,56645837,183,175,-
chr12,56664498,56687998,114,70,-
chr12,57522824,57530148,64,137,+
chr12,87980356,88029340,120,121,-
chr12,95858952,95866140,126,65,+
chr12,103965872,103988874,242,70,+
chr12,113149724,113159276,106,105,+
chr12,114356106,114407814,95,120,-
chr13,11261,113667219,128,158,+
chr13,28004174,28100468,122,203,-
chr13,32586452,32778019,127,204,+
chr13,41311267,41358718,85,105,+
chr13,45396015,45418300,119,148,-
chr13,49534262,49585444,80,167,-
chr13,77535706,77645263,62,118,+
chr14,21030217,21032815,242,154,+
chr14,50533082,50633068,173,248,+
chr14,50977353,51094118,96,123,-
chr14,51989546,52010694,125,100,+
chr14,54941690,55027028,93,112,-
chr14,64986895,65062650,65,73,+
chr14,95418026,95516596,158,173,-
chr14,96392128,96489427,189,109,+
chr14,100335036,100375283,172,214,-
chr15,33310967,33866102,120,108,+
chr15,41848628,41893899,265,168,-
chr15,42945470,43105942,257,79,-
chr15,43233344,43266840,180,119,-
chr15,60423762,60479003,133,105,-
chr15,64911902,64958691,104,129,+
chr15,69014695,69062762,124,151,+
chr15,70657127,70701877,134,89,-
chr15,74920442,74937915,117,122,-
chr15,75356032,75368483,126,124,-
chr15,89471855,89496361,187,151,-
chr15,90388242,90502239,100,157,+
chr15,92393881,92468728,63,129,+
chr15,100879831,100916626,105,141,+
chr16,55136,75218988,104,80,+
chr16,164282,4474554,74,239,-
chr16,212670,4476398,118,127,+
chr16,215006,4538702,90,99,-
chr16,280591,283010,180,84,+
chr16,372283,381701,178,208,-
chr16,788620,798074,195,151,+
chr16,1525515,15888558,198,85,-
chr16,2240145,2251515,114,128,-
chr16,2520371,2531417,137,140,+
chr16,8882351,8885350,77,143,+
chr16,11679837,11742477,217,98,-
chr16,19067614,19080095,179,115,+
chr16,19555703,19701163,100,168,+
chr16,20409534,20441336,219,211,+
chr16,23581173,23596123,123,88,-
chr16,28098639,28211366,136,91,-
chr16,28843148,28846218,195,167,-
chr16,29485833,29505794,158,129,-
chr16,30023198,30024704,159,88,+
chr16,30025467,30030403,84,235,-
chr16,30378520,30382735,74,91,-
chr16,53434471,53491648,131,201,+
chr16,55509072,55586666,140,218,+
chr16,57092583,57148369,215,180,+
chr16,57245259,57253635,62,107,+
chr16,66427295,66482833,264,151,+
chr16,66844929,66854147,198,119,+
chr16,67663321,67666358,195,173,-
chr16,68230315,68235848,129,114,-
chr16,71568284,71577009,247,105,-
chr16,72119354,72172054,72,153,-
chr16,76277401,76560757,111,194,+
chr16,77722514,77742260,154,159,+
chr16,89613308,89638433,210,133,+
chr17,160212,80146793,73,67,-
chr17,208703,36323884,73,86,+
chr17,227337,80178508,231,138,+
chr17,4788964,4790589,65,167,+
chr17,4997950,5028401,121,133,+
chr17,7023050,7029644,191,222,+
chr17,8039059,8049134,220,82,+
chr17,15999824,16029404,128,111,+
chr17,18952165,19022565,72,105,+
chr17,19533854,19579034,102,69,+
chr17,20450119,20467432,92,202,-
chr17,28714710,28717213,92,66,-
chr17,29043141,29057216,149,214,+
chr17,39200283,39204732,107,123,+
chr17,40766666,40771673,83,157,-
chr17,41460239,41466858,83,157,-
chr17,41610029,41612158,83,157,-
chr17,41755895,41786566,216,260,-
chr17,42573024,42577653,101,90,-
chr17,42609683,42615238,113,168,+
chr17,50560715,50627474,112,134,+
chr17,55394534,55421670,82,161,-
chr17,61684140,61863284,123,112,-
chr17,63523358,63546727,231,162,+
chr17,68269346,68291086,239,144,-
chr17,74748628,74769353,162,154,+
chr17,75273639,75289354,74,170,-
chr17,75587800,75626849,64,110,+
chr17,75627522,75667044,144,122,-
chr17,82079280,82098121,134,153,-
chr18,674406,712504,109,116,-
chr18,12329783,12376969,100,78,-
chr18,21651763,21704504,164,183,-
chr18,63887705,63903888,177,120,+
chr18,63907958,63936111,177,66,+
chr19,47006,8832209,84,107,-
chr19,85962,39834023,164,120,-
chr19,2430952,2456670,137,157,-
chr19,4247080,4269088,101,145,+
chr19,6361531,6370242,72,97,+
chr19,9468334,9498538,88,86,-
chr19,10350968,10380380,165,213,-
chr19,10701439,10713365,69,139,+
chr19,12646732,12666543,103,174,-
chr19,12825933,12835083,62,187,-
chr19,12922886,12933550,138,99,-
chr19,15508525,15552317,107,223,+
chr19,16553909,16571944,71,138,-
chr19,16829398,16880349,107,154,+
chr19,17719480,17734513,102,83,+
chr19,17859910,17863319,180,130,+
chr19,19630336,19643511,85,76,-
chr19,23224018,23250240,127,96,-
chr19,32830684,32869686,112,148,-
chr19,35739626,35742396,200,185,-
chr19,35902529,35904377,66,132,+
chr19,36450001,36489413,68,127,-
chr19,36640043,36666690,89,127,-
chr19,39412669,39428415,131,269,+
chr19,44094361,44109826,89,83,+
chr19,45351721,45370536,100,78,-
chr19,45668221,45683722,116,100,+
chr19,45940945,45973267,144,167,-
chr19,47067869,47113720,166,220,-
chr19,49363877,49375116,173,141,+
chr19,49767001,49807114,69,143,+
chr19,49851159,49860742,138,83,+
chr19,51927472,51946621,100,165,+
chr19,52067610,52095575,66,92,-
chr2,335841,233388154,81,105,+
chr2,422730,171922461,105,76,+
chr2,6917412,7044179,200,146,+
chr2,27212360,27217183,122,72,+
chr2,27255460,27275177,73,182,-
chr2,27282429,27307435,173,172,+
chr2,32165864,32224379,87,85,+
chr2,42169353,42332548,183,130,+
chr2,48963966,49154266,72,75,-
chr2,63841896,63891560,128,108,+
chr2,65314169,65366590,178,169,-
chr2,79025702,79028501,87,119,+
chr2,85539168,85545281,78,123,+
chr2,86720291,86778041,143,135,+
chr2,100562993,100576739,127,91,+
chr2,107986524,108013994,226,114,+
chr2,108588306,108687246,160,67,+
chr2,119759922,119984899,155,108,+
chr2,127639428,127664306,160,67,-
chr2,130464144,130508715,115,174,-
chr2,152656398,152717831,270,132,-
chr2,162143370,162152158,101,162,-
chr2,164493182,164621119,133,157,-
chr2,178480457,178516463,117,156,+
chr2,185738804,185833290,126,162,+
chr2,187346399,187448039,91,165,-
chr2,189562191,189580418,68,160,-
chr2,191950407,192194353,110,130,-
chr2,196137729,196171333,166,213,-
chr2,196639715,196732801,164,221,+
chr2,201451740,201480846,107,81,+
chr2,218455017,218568178,141,64,-
chr2,230712842,230821075,157,165,+
chr2,237487251,237555322,134,222,+
chr2,238100340,238133287,191,187,+
chr20,54269,61252261,112,227,+
chr20,248432,13995516,117,108,+
chr20,873120,915906,156,122,-
chr20,2484656,2508881,87,267,-
chr20,16730026,16742564,99,173,+
chr20,25248085,25298012,102,79,+
chr20,31514442,31569543,99,83,+
chr20,31739290,31801800,107,176,+
chr20,33055331,33073847,157,105,+
chr20,35542078,35557634,71,88,+
chr20,35772015,35950370,115,172,+
chr20,38346482,38377013,115,129,+
chr20,47501887,47656872,79,102,+
chr20,63235905,63240495,100,82,+
chr20,63241506,63254397,138,81,-
chr21,25639258,25717562,66,153,+
chr21,32631801,32727946,146,87,-
chr21,33578444,33588321,81,204,-
chr21,42219898,42297244,244,118,+
chr22,20442438,20495760,260,166,-
chr22,21045946,21064168,143,133,+
chr22,22644614,22647898,210,128,+
chr22,25219639,25231869,80,119,+
chr22,29260237,29267748,152,190,-
chr22,31496536,31618588,122,174,+
chr22,35299894,35347973,85,79,+
chr22,37226039,37244114,72,118,-
chr22,38656638,38673850,116,106,+
chr22,38681957,38685421,119,118,+
chr22,50447240,50474786,86,138,-
chr3,3151045,3179621,107,203,-
chr3,10816228,10940714,135,141,+
chr3,17161256,17739343,65,132,-
chr3,31662116,31980899,176,80,-
chr3,36828375,36944787,127,151,-
chr3,42160193,42212620,77,117,+
chr3,45689396,45745409,98,75,+
chr3,47282944,47346816,131,141,+
chr3,50288271,50292217,120,85,-
chr3,51958349,51967326,83,145,-
chr3,51975064,51981196,212,116,+
chr3,52245759,52250599,118,255,+
chr3,53225931,53255836,118,114,-
chr3,55470550,55486980,134,251,-
chr3,97764521,97801242,99,150,+
chr3,100401539,100456319,189,231,+
chr3,121432417,121545715,180,131,-
chr3,126394909,126436556,108,81,+
chr3,129440224,129520507,67,85,+
chr3,129556428,129605329,177,132,-
chr3,136957983,137011085,127,191,+
chr3,141231825,141294924,103,71,+
chr3,148827811,148860187,76,125,+
chr3,149741718,149752378,78,83,-
chr3,160399650,160434953,144,179,+
chr3,161496808,161503942,90,63,+
chr3,179240064,179266649,192,199,-
chr3,189171971,189325304,219,92,+
chr3,191199241,191265615,102,215,+
chr3,194406116,194467884,97,174,-
chr3,196356846,196432327,148,68,-
chr3,196472772,196502873,77,180,-
chr3,197889714,197959845,191,67,-
chr4,272630,305308,127,96,-
chr4,506111,68951046,149,132,-
chr4,17614641,17634105,67,113,+
chr4,25004268,25030497,72,72,-
chr4,25234033,25279204,155,201,+
chr4,38798898,38804754,77,92,-
chr4,39459056,39479506,173,94,+
chr4,48499680,48780078,180,123,-
chr4,55853648,55905086,134,131,+
chr4,56338791,56387362,272,121,-
chr4,70656539,70666427,124,81,-
chr4,70902369,70988168,167,94,+
chr4,74746675,74794262,99,118,-
chr4,102901332,103019599,70,142,-
chr4,105552620,105631680,188,124,+
chr4,110476155,110560276,142,132,+
chr4,139267041,139280077,104,94,-
chr4,143577852,143695491,90,147,-
chr5,195710,1344680,101,190,-
chr5,10441879,10465026,124,162,+
chr5,35856891,35879603,139,158,+
chr5,36104106,36151556,231,98,-
chr5,65670357,65721917,122,104,-
chr5,74721783,74766938,87,85,-
chr5,79236131,79327211,174,151,+
chr5,88722925,88882955,196,204,-
chr5,95658913,95682794,89,228,-
chr5,115841946,115914080,92,112,+
chr5,128083766,128189677,120,76,+
chr5,132752181,132777108,121,196,-
chr5,137622126,137720678,120,107,-
chr5,141636997,141641064,66,67,+
chr5,150000739,150053128,139,175,+
chr5,150661251,150679368,62,155,+
chr5,151183614,151223923,76,107,-
chr5,157481002,157575603,86,71,-
chr5,161294428,161548059,229,92,-
chr5,161847191,161899959,232,89,+
chr5,169583773,169604778,182,177,+
chr5,170783725,170814047,95,119,+
chr5,176630675,176646644,123,93,+
chr5,178131014,178150568,140,151,+
chr6,1137066,29826967,185,270,+
chr6,3061968,31740005,160,124,+
chr6,33621322,33696562,71,122,+
chr6,33697750,33711549,75,70,-
chr6,35213956,35253079,123,126,+
chr6,39048781,39091303,97,108,+
chr6,41921499,41933046,163,139,+
chr6,56057844,56247387,74,126,-
chr6,56617418,56642622,94,155,-
chr6,57046693,57055225,84,81,+
chr6,63721797,65707135,115,135,-
chr6,83859689,83967423,154,101,+
chr6,87472974,87512336,178,160,+
chr6,88612882,88963346,110,104,-
chr6,109691296,109825426,99,124,+
chr6,110614666,110815009,76,111,-
chr6,129578604,129710024,203,236,-
chr6,133952174,133990432,179,83,+
chr6,134170435,134317392,216,76,-
chr6,152750797,152759760,117,123,+
chr6,166412887,166626921,117,82,-
chr6,167291315,167316014,182,230,+
chr7,2255169,2314328,206,118,-
chr7,6577454,6589374,220,124,+
chr7,28995882,29146341,179,119,-
chr7,30594878,30634033,102,103,+
chr7,44073377,44082251,184,99,-
chr7,51017568,51316593,204,211,-
chr7,73835002,73842490,127,129,-
chr7,74453906,74602605,129,142,+
chr7,75996599,76047662,104,62,-
chr7,81950508,82443365,82,117,-
chr7,88759700,89338528,141,131,+
chr7,99374730,99394816,77,105,+
chr7,100575304,100585881,145,127,-
chr7,112480991,112491062,132,129,+
chr7,129835061,129952503,77,75,-
chr7,139026560,139035653,136,259,-
chr7,139523685,139544985,75,167,+
chr7,150247569,150323469,96,108,-
chr7,151054095,151057812,89,68,-
chr7,151059589,151076523,114,166,+
chr8,154070,143160546,70,128,-
chr8,263709,7582531,200,109,-
chr8,328590,2045046,119,156,+
chr8,411219,7018222,187,231,-
chr8,655001,7753682,200,109,+
chr8,5338627,7730739,200,109,+
chr8,7264526,7267536,200,109,+
chr8,7723091,7726101,200,109,+
chr8,17922988,18029948,68,118,+
chr8,19406069,19682473,95,152,-
chr8,22987251,23020199,113,79,+
chr8,31639245,32774046,178,122,+
chr8,41655753,41797512,102,99,-
chr8,53851795,53959303,149,84,+
chr8,63061425,63085818,154,194,-
chr8,73290705,73293599,109,167,-
chr8,102828587,102863807,138,197,-
chr8,109540173,109565996,98,79,+
chr8,123015585,123041970,112,65,-
chr8,144466337,144474202,79,152,+
chr8,144882836,144901399,96,142,-
chr9,37485948,37503697,104,77,+
chr9,86027893,86100025,150,180,-
chr9,89605012,89606555,102,214,+
chr9,91214425,91361628,68,88,-
chr9,93096217,93113283,143,154,+
chr9,101421904,101435709,122,212,-
chr9,114611291,114646422,184,110,+
chr9,122144378,122159627,164,166,-
chr9,127816053,127854289,152,141,-
chr9,128633982,128656541,249,110,-
chr9,129835458,129881828,112,97,+
chr9,136662916,136672678,216,94,+
chr9,137241287,137243707,109,111,+
chrX,272653,152637895,89,68,+
chrX,2221229,2500817,108,69,-
chrX,10015254,10144474,183,110,+
chrX,13714505,13734525,112,145,-
chrX,14529298,14731812,178,134,+
chrX,16719612,16765340,119,67,+
chrX,24693918,24996986,125,97,+
chrX,47582436,47586789,129,80,+
chrX,48539714,48562609,110,155,+
chrX,49303646,49319841,89,121,+
chrX,49322037,49329384,92,121,+
chrX,52512187,52516980,142,127,-
chrX,53939246,54043762,190,86,-
chrX,54440404,54448032,91,92,+
chrX,55143875,55161137,100,131,-
chrX,100969708,100990831,73,71,+
chrX,102460745,102471773,138,126,-
chrX,106693838,106797016,248,72,+
chrX,135777693,135785237,175,249,-
chrX,135829497,135837025,175,249,-
chrX,154379295,154381523,105,78,+
