Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,URS0000BC460C_9606,48.00,0,0.586,52.25,350.33,35488,2287,-7.334,8.08,-23.14,29.24,-22.60,.263565,.000377
Yes,URS000075EEAE_9606,55.00,0,8.497,1.13,1.36,1,3076,-8.830,1.83,0.00,211.01,-478.80,.208234,.001080
Yes,URS0000BC4633_9606,52.00,0,2.082,.40,.40,9294,2210,-6.562,16.06,-371.93,4.39,-27.00,.396039,.000324
Yes,URS00025E3479_9606,47.00,0,0.334,1.32,.40,5621,987,-7.320,9.93,-103.85,19.49,-68.10,.180392,.002633
Yes,URS0000BC462A_9606,38.00,0,1.482,1.88,.11,1,1699,-6.283,9.44,-1.29,43.11,-34.20,.306818,.000052
Yes,URS0000BC4644_9606,35.00,0,2.009,.80,.14,1,1007,-5.883,4.15,0.00,56.66,-42.00,.281690,.002876
Yes,URS0000BC45EE_9606,60.00,0,8.725,5.61,2.32,2,1390,-8.385,1.37,0.00,118.35,-233.30,.211191,.001222
Yes,URS0000E42B0E_9606,57.00,0,8.833,45.66,13.50,1,4869,-6.635,12.36,0.00,157.06,-77.90,.216216,.000131
Yes,URS000075B295_9606,53.00,0,3.314,.26,.40,1,748,-5.385,1.71,0.00,155.94,-48.90,.137500,.000136
Yes,URS00008BDA32_9606,52.00,0.173653,8.773,7.93,2.06,1,3655,-6.432,3.02,-5.26,181.76,-46.00,.269461,.000054
Yes,URS0000CCE071_9606,64.00,0,8.59,18.29,5.05,1,1774,-6.446,18.25,-14.79,113.07,-68.20,.209039,.000052
Yes,URS00022B2827_9606,60.00,0,8.457,1.24,.36,1,1916,-8.425,0.53,0.00,117.17,-140.00,.245562,.001250
Yes,URS0000A77143_9606,49.00,0,8.397,2.14,1.77,1,4960,-7.260,9.45,0.00,256.68,-168.50,.190000,.000036
Yes,URS0000BC43D7_9606,47.00,0,3.638,.40,.60,1,410,-7.509,3.63,0.00,125.68,-38.60,.200000,.000015
Yes,URS0000ABD848_9606,44.00,0.0446097,8.71,8.26,282.80,41560,7403,-7.732,5.03,0.00,179.53,-49.60,.304832,.008259
Yes,URS0000D77F5A_9606,71.00,0,7.824,2.32,28.28,2,7351,-7.742,5.42,-1.89,145.80,-123.00,.258964,.008090
Yes,URS0000BC4558_9606,57.00,0,4.039,1.33,9.00,1,3439,-7.083,3.29,0.00,119.41,-65.50,.149732,.000038
Yes,URS000075ACB7_9606,60.00,0,5.573,2.88,6.00,1,715,-6.100,3.42,0.00,99.88,-69.70,.467836,.000435
Yes,URS00008E39CF_9606,62.00,0,2.246,.37,3.25,1,274,-7.438,3.30,0.00,78.85,-31.30,.231707,.024582
Yes,URS0000BC44A0_9606,61.00,0,4.733,1.30,.30,1,1858,-6.409,3.74,0.00,135.41,-35.40,.419047,.004332
Yes,URS000075B5F8_9606,39.00,0,6.426,.64,.29,1,558,-6.845,3.20,0.00,189.69,-69.80,.188087,.000047
Yes,URS0000A77289_9606,60.00,0,1.004,1.69,.76,184,2051,-7.044,7.15,-16.69,32.60,-44.80,.186567,.009813
Yes,URS0000BC4493_9606,50.00,0,0.092,.31,2.12,1088,1642,-7.462,19.48,-328.70,3.85,-37.20,.310559,.000373
Yes,URS0000A774BF_9606,55.00,0,1.791,.29,.44,1,763,-7.958,5.04,0.00,113.13,-92.40,.241877,.012207
Yes,URS0000380C69_9606,48.00,0,2.349,8.90,1.09,1,1700,-5.958,4.04,0.00,53.66,-28.50,.276785,.006099
Yes,URS00025E764C_9606,55.00,0,2.605,.87,.70,1,1052,-7.979,1.66,0.00,131.35,-60.00,.211382,.006150
Yes,URS00007E4015_9606,41.00,0,5.568,.86,.86,1,4386,-5.773,4.57,0.00,194.84,-61.10,.197424,.005976
Yes,URS000075A909_9606,48.00,0,0.823,2.56,7.60,354,3111,-6.620,10.47,-47.33,17.51,-65.60,.313304,.000228
Yes,URS0000CCDFB1_9606,66.00,0,3.319,20.23,25.46,1,970,-5.350,1.21,0.00,88.28,-55.20,.183206,.002184
Yes,URS0000E86FC5_9606,64.00,0,3.42,5.86,5.30,1,4606,-7.936,2.31,0.00,126.88,-147.20,.308743,.006497
Yes,URS0000CCE155_9606,60.00,0,1.582,1.73,.07,2142,2952,-7.321,8.35,-43.68,25.69,-90.30,.307407,.000550
Yes,URS000075B9DB_9606,49.00,0,0.962,.14,.04,18,2986,-7.597,2.98,0.00,57.97,-53.70,.261682,.014118
Yes,URS0000E60B5B_9606,70.00,0,2.12,1.11,1.38,1,3462,-7.803,2.21,0.00,160.63,-87.00,.320441,.000916
Yes,URS000075BE06_9606,56.00,0,2.28,5.31,28.87,1,627,-7.377,3.53,0.00,93.24,-50.50,.461538,.000369
Yes,URS000075E9C9_9606,34.00,0,4.188,1.37,18.12,1,528,-5.618,2.37,0.00,118.11,-25.10,.181818,.005319
Yes,URS0000A77231_9606,48.00,0,4.414,.80,6.90,1,2026,-7.170,2.17,0.00,146.22,-24.90,.287037,.004554
Yes,URS0000A76D17_9606,58.00,0,2.901,1.45,8.00,1,321,-8.055,3.16,0.00,132.43,-82.80,.242914,.019019
Yes,URS000075DB9C_9606,40.00,0,2.254,1.58,.20,1,665,-7.632,3.57,0.00,54.18,-41.40,.233870,.003917
Yes,URS00003D754F_9606,51.00,0.037037,8.889,6.12,.43,1,4875,-7.348,4.13,0.00,210.11,-43.80,.296296,.000030
Yes,URS000075BA57_9606,65.00,0,4.268,.40,5.15,1,1312,-7.478,17.31,-58.98,44.58,-228.20,.325141,.022175
Yes,URS000075B948_9606,68.00,0,8.498,429.56,7698.59,17,3528,-8.442,3.34,0.00,280.96,-312.80,.202808,.003259
Yes,URS000075AE68_9606,79.00,0.576271,7.451,18.18,55.00,1,3339,-6.667,4.40,0.00,94.68,-68.00,.322033,.000227
Yes,URS0000D78001_9606,70.00,0,8.522,1.61,2.69,1,1319,-6.654,6.52,0.00,101.40,-53.50,.417910,.010645
Yes,URS0000A76C06_9606,41.00,0,0.586,.54,.36,7,1321,-5.350,8.82,0.00,65.86,-22.30,.342105,.000573
Yes,URS000075BC29_9606,46.00,0.0465116,4.224,.23,.12,61075,395,-8.372,3.00,0.00,181.30,-143.20,.331923,.009997
Yes,URS000075DE1B_9606,64.00,0.0988024,8.568,2.39,19.33,1,7474,-8.824,3.11,0.00,87.62,-97.62,.410179,.006118
Yes,URS0000A76472_9606,53.00,0,2.174,.63,2.81,2,674,-6.697,3.20,0.00,114.63,-32.00,.313559,.005333
Yes,URS00025E7734_9606,62.00,0,3.555,1.00,1.61,1,603,-6.332,NA,0.00,116.55,-73.00,.280219,.032713
Yes,URS000075BE23_9606,69.00,0,3.907,10.00,4.45,1,3745,-5.871,4.12,0.00,82.03,-42.50,.348214,.016944
Yes,URS0000E60B05_9606,43.00,0,8.526,.27,.45,1,2177,-7.877,3.90,0.00,174.42,-90.50,.237388,.005588
Yes,URS0002123126_9606,40.00,0.0346154,3.602,.40,.12,29111,826,-7.203,7.23,-13.73,34.94,-62.10,.300000,.001797
Yes,URS000075E54A_9606,50.00,0,0.581,2.93,1.80,162280,455,-6.514,8.64,-4.89,56.52,-44.00,.251655,.013511
Yes,URS000075BFEF_9606,62.00,0,0.955,2.13,8.84,5,1197,-7.588,10.87,-6.52,34.13,-172.20,.369230,.005809
Yes,URS0000A77064_9606,47.00,0,4.015,.12,.06,1,570,-7.343,4.79,0.00,138.78,-79.30,.286604,.000485
Yes,URS00007BE1A3_9606,66.00,0.11413,1.628,.27,.33,2,1159,-6.619,4.63,0.00,37.34,-71.80,.510869,.000855
Yes,URS0000EEACA5_9606,48.00,0,2.871,7.37,5.25,1,674,-7.118,2.05,0.00,128.98,-70.30,.255474,.008567
Yes,URS0000D78064_9606,64.00,0,3.642,10.09,4.96,4,443,-7.343,2.87,0.00,111.67,-114.60,.314102,.000672
Yes,URS000075EB1A_9606,52.00,0,8.886,.20,.65,1,5410,-7.796,1.26,0.00,135.59,-162.80,.244444,.001438
Yes,URS0000DBA8AE_9606,53.00,0,0.924,1.28,.35,948,631,-6.634,5.71,-11.24,27.66,-40.10,.286666,.000027
Yes,URS0000D78019_9606,53.00,0,4.441,1.57,6.85,1,831,-7.303,3.99,0.00,95.94,-35.60,.303448,.000058
Yes,URS0000759C3A_9606,69.00,0.18136,8.595,6.84,10.30,3,1749,-7.386,6.45,0.00,196.54,-173.90,.637279,.003512
Yes,URS000075A46C_9606,66.00,0,8.595,6.66,15.16,3,2021,-7.021,1.05,0.00,142.69,-51.70,.688000,.000105
Yes,URS0000759F36_9606,47.00,0,3.338,.38,.11,1,2337,-8.158,5.71,0.00,110.27,-91.80,.210810,.011520
Yes,URS000075B6C0_9606,45.00,0,4.23,.24,.06,2,98,-8.521,3.69,0.00,163.04,-144.00,.242735,.027744
Yes,URS000075A40C_9606,36.00,0,2.736,1.96,.44,1,333,-6.806,5.59,-0.92,53.87,-48.20,.209486,.018844
Yes,URS0000BC456D_9606,36.00,0,0.586,1.20,.46,234,658,-5.294,16.72,-37.16,21.17,-35.20,.188311,.017107
Yes,URS000075B789_9606,54.00,0,2.731,1.70,.80,1,617,-7.709,4.47,0.00,101.55,-26.60,.263636,.043940
Yes,URS000075B5EB_9606,48.00,0,3.497,3.11,2.25,1,639,-8.478,5.35,0.00,161.59,-121.90,.201372,.009986
Yes,URS0000CCE041_9606,47.00,0,2.99,6.44,16.66,1,386,-7.305,2.12,0.00,143.74,-16.50,.210526,.000342
Yes,URS000075C0D0_9606,55.00,0.02746,8.056,2.00,3.88,1,833,-8.439,3.21,0.00,144.77,-149.40,.283752,.007057
Yes,URS000075A252_9606,69.00,0,8.718,1.27,.50,1,7290,-7.094,8.63,0.00,160.45,-86.20,.212669,.000024
Yes,URS000075ABA8_9606,50.00,0,6.35,1.27,2.11,1,2850,-6.393,3.53,0.00,124.82,-57.80,.110497,.000044
Yes,URS000075B6B9_9606,56.00,0.092233,2.86,4.80,3.90,254515,2261,-6.430,5.25,-2.18,42.61,-77.70,.577669,.002215
Yes,URS0000759BD2_9606,44.00,0,8.89,1.57,.61,1,460,-9.254,3.88,0.00,181.78,-194.20,.190104,.000635
Yes,URS00007E3821_9606,48.00,0,2.363,.18,10.90,1,1602,-6.491,2.82,0.00,121.53,-27.10,.294642,.003793
Yes,URS00022B774E_9606,66.00,0,6.767,2.18,2.81,1,2965,-6.380,6.32,0.00,117.86,-42.90,.333333,.000199
Yes,URS000075B07A_9606,73.00,0.226148,8.372,2.50,3.92,1,4261,-7.314,4.64,0.00,138.60,-143.20,.480565,.000265
Yes,URS0000BC4643_9606,63.00,0,3.105,1.60,3.95,2,10537,-7.884,1.13,0.00,152.44,-84.70,.304347,.000464
Yes,URS0000E60B51_9606,60.00,0,1.802,1.25,1.50,3,1261,-5.195,2.29,-0.78,35.71,-29.00,.313253,.000273
Yes,URS000027B716_9606,64.00,0.0401417,8.3,14.89,49.78,1,5182,-8.771,0.39,0.00,131.50,-374.10,.305785,.001887
Yes,URS0000812128_9606,67.00,0.062592,8.461,2087.25,7216.55,4,8155,-10.992,2.99,0.00,192.39,-610.60,NA,NA
Yes,URS0000A76E5D_9606,72.00,0,8.671,11.60,7.72,1,23387,-8.000,4.46,0.00,140.89,-214.20,.282110,.005428
Yes,URS0000759B3A_9606,75.00,0.203931,7.857,10.92,21.15,1,3363,-8.313,4.58,0.00,91.68,-182.40,.253071,.000404
Yes,URS0001BBE583_9606,63.00,0,8.259,14.36,22.09,2,2975,-7.245,22.83,-4.06,110.86,-43.80,.256410,.000329
Yes,URS0001BBE4A4_9606,41.00,0,1.513,.57,0,22,781,-5.733,5.61,-4.80,41.90,-25.00,.191489,.019493
Yes,URS00008E39AE_9606,57.00,0,4.016,.50,.75,157,2014,-8.025,6.31,0.00,110.02,-41.10,.181818,.000051
Yes,URS00025E3453_9606,50.00,0,2.668,12.76,15.53,1,1319,-6.854,3.31,0.00,103.93,-32.40,.304347,.000049
Yes,URS000075E984_9606,42.00,0,8.903,2.00,.40,1,1667,-4.198,1.89,-6.01,49.61,-30.30,.342857,.000371
Yes,URS000075AE0C_9606,36.00,0,4.288,.15,.45,1,2777,-7.024,5.54,0.00,140.84,-71.30,.205970,.000748
Yes,URS00008120ED_9606,42.00,0,3.909,.19,.26,1,1589,-7.549,3.95,0.00,166.60,-60.30,.141791,.003305
Yes,URS000075A793_9606,57.00,0,6.902,.04,.16,1,700,-8.715,0.80,0.00,142.28,-188.80,.260869,.004836
Yes,URS000075E6BC_9606,60.00,0,8.5,.57,.35,1,744,-7.385,1.36,0.00,111.09,-113.50,.286219,.011201
Yes,URS0000759996_9606,67.00,0,2.613,1.60,.80,2,842,-6.838,2.26,0.00,86.22,-37.40,.333333,.000519
Yes,URS0000A76754_9606,65.00,0,8.839,21.00,279.54,1,4583,-8.124,7.26,-0.21,150.85,-76.40,.245535,.003067
Yes,URS0000ABD8A5_9606,73.00,0.118033,8.024,2.88,9.61,1,2595,-8.697,2.52,0.00,97.06,-324.90,.357377,.000915
Yes,URS0000A765B6_9606,56.00,0,1.016,6.85,3.85,1,2089,-5.710,3.16,0.00,75.19,-22.70,.325000,.000028
Yes,URS00007C9E84_9606,58.00,0,2.543,2.87,1.75,1,1789,-6.023,1.39,0.00,108.15,-20.30,.235955,.046044
Yes,URS000075D8FB_9606,60.00,0,4.96,5.10,15.78,1,3397,-6.114,0.91,0.00,178.63,-81.70,.246153,.000491
Yes,URS00022B4028_9606,67.00,0,7.323,3.43,6.21,1,1964,-7.537,2.30,0.00,87.29,-148.60,.314814,.005767
Yes,URS00022B6AB1_9606,54.00,0,2.737,1.00,1.66,1,244,-6.870,5.65,0.00,122.73,-36.80,.254098,.000026
Yes,URS0000BC44BA_9606,74.00,0,8.819,19.01,29.38,1,4688,-9.550,111.81,-14.29,228.49,-395.00,.313043,.002261
Yes,URS00025EEC56_9606,50.00,0,8.887,2.25,3.66,1,1603,-8.092,2.69,0.00,180.63,-175.80,.287190,.000710
Yes,URS00025E34B1_9606,31.00,0,4.63,2.67,2.53,174174,595,-7.026,8.90,-6.42,49.47,-103.20,.227969,.001720
Yes,URS000075ED9D_9606,47.00,0,3.416,.76,1.30,1,446,-6.735,2.72,0.00,116.16,-26.80,.255474,.000182
Yes,URS000075C669_9606,39.00,0,5.803,.73,.10,1,382,-8.293,8.16,0.00,159.61,-205.30,.213075,.000308
Yes,URS0000A764DE_9606,57.00,0,4.894,1.23,5.46,1,3133,-7.518,3.40,0.00,113.08,-43.50,.274809,.000017
Yes,URS0000ABD8E2_9606,49.00,0,6.687,.25,47.32,1,64,-7.118,2.61,0.00,159.00,-120.20,.227160,.002793
Yes,URS0000BC44DA_9606,58.00,0,0.586,.50,1.62,110,582,-5.346,8.80,-6.21,18.73,-32.40,.258426,.000012
Yes,URS00008BFFB5_9606,32.00,0.0404412,8.775,1.88,.88,1,816,-6.814,1.05,0.00,179.63,-49.60,.191176,.000260
Yes,URS000075D9A0_9606,60.00,0,2.269,.50,.16,1,1897,-9.069,1.80,0.00,87.02,-33.50,.222222,.001874
Yes,URS000075BB5B_9606,76.00,0,5.732,2.70,1.70,1,2976,-9.047,7.21,-15.80,35.60,-78.00,.421052,.002324
Yes,URS00025E3586_9606,64.00,0,8.598,.57,.14,1,1200,-7.654,3.64,0.00,117.57,-55.70,.352112,.020485
Yes,URS000075A114_9606,75.00,0,8.643,8.22,4.59,1,1988,-6.276,6.69,0.00,97.88,-143.60,.268382,.000296
Yes,URS000075C7CB_9606,39.00,0.184358,2.62,6.29,6.41,2,2710,-7.296,2.61,0.00,182.60,-21.50,.262569,.000412
Yes,URS000075B56C_9606,46.00,0,2.852,2.90,2.00,1,1597,-6.534,8.35,0.00,117.54,-19.00,.259615,.000013
Yes,URS0000BC4413_9606,36.00,0,4.24,.58,.88,1,1060,-6.914,5.76,0.00,145.79,-26.20,.203389,.020952
Yes,URS000075B558_9606,50.00,0.310345,6.954,5.58,3.94,1,592,-8.857,1.31,0.00,138.30,-44.50,.896551,.001745
Yes,URS0001BBE59D_9606,39.00,0,2.623,6.75,9.37,4,308,-4.868,4.99,0.00,71.59,-14.60,.228915,.000260
Yes,URS0000BC44D8_9606,60.00,0,8.546,2.75,1.16,1,2752,-7.589,2.56,0.00,103.74,-38.80,.398373,.000028
Yes,URS00022B145A_9606,64.00,0,8.732,.27,.45,1,935,-7.933,1.20,0.00,138.12,-130.80,.322289,.003464
