chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable	rna_type	pol_class
chr1	30968162	30968237	RNA24	75	17	2.334445878872991e-05	1.4696400285174605e-05	1.0	226666.66666666663	snoRNA	Pol II
chr1	36418447	36418578	RNA25	131	26	6.784550001052244e-06	0.0	1.0	198473.28244274808	snoRNA	Pol II
chr1	38089230	38089329	RNA26	99	10	5.880539993086131e-06	0.0	1.0	101010.101010101	pre_miRNA	Pol II
chr1	39567373	39567510	RNA27	137	24	0.0001316597243885	1.469764993089484e-05	1.0	175182.48175182482	snoRNA	Pol II
chr1	44670956	44671056	RNA28	100	22	0.0003822166577678	0.0	1.0	220000.0	snoRNA	Pol II
chr1	44721785	44721901	RNA29	116	200	0.0297005124122642	2.939749992947327e-05	0.965	1724137.9310344823	snRNA	Pol II
chr1	44731068	44731168	RNA30	100	209	0.0173568748556335	2.942210085166153e-05	0.971291866028708	2090000.0	snRNA	Pol II
chr1	44762034	44762107	RNA31	73	10	7.350129999394994e-06	7.349250154220499e-06	1.0	136986.301369863	snoRNA	Pol II
chr1	44775864	44775938	RNA32	74	20	0.0024856604004526	1.4700499832542846e-05	1.0	270270.2702702703	snoRNA	Pol II
chr1	44776491	44776589	RNA33	98	25	1.2346419971436262e-05	1.4697199731017465e-05	1.0	255102.0408163265	snoRNA	Pol II
chr1	44777841	44777912	RNA34	71	13	0.0001142179540133	1.4698500308440998e-05	1.0	183098.5915492958	snoRNA	Pol II
chr1	54957868	54957941	RNA35	73	23	5.752811225449265e-05	1.4699399798701052e-05	1.0	315068.4931506849	tRNA	Pol III
chr1	66628439	66628517	RNA36	78	17	0.0094126047802359	1.4696799553348685e-05	0.9411764705882352	217948.71794871797	pre_miRNA	Pol II
chr1	75787071	75787149	RNA37	78	11	8.018163581172386e-06	0.0	1.0	141025.64102564103	snoRNA	Pol II
chr1	75787888	75787972	RNA38	84	25	0.0001957901288551	0.0	1.0	297619.04761904763	snoRNA	Pol II
chr1	75789476	75789547	RNA39	71	18	0.014635716359559	1.4697900041937828e-05	0.9444444444444444	253521.12676056335	snoRNA	Pol II
chr1	85133793	85133873	RNA40	80	16	0.0002774703809222	0.0	1.0	200000.0	pre_miRNA	Pol II
chr1	92837288	92837383	RNA41	95	19	1.2378026344537684e-05	1.469509970775107e-05	1.0	200000.0	snoRNA	Pol II
chr1	93516276	93516349	RNA42	73	46	5.721287245408738e-05	1.4699599887535442e-05	1.0	630136.9863013698	tRNA	Pol III
chr1	93846831	93846911	RNA43	80	0				0.0	pre_miRNA	Pol II
chr1	93847572	93847657	RNA44	85	27	1.4159281548658058e-05	1.4701099644298664e-05	1.0	317647.0588235294	tRNA	Pol III
chr1	112882049	112882129	RNA45	80	18	0.0557074441576838	1.4698950053571023e-05	0.9444444444444444	225000.0	pre_miRNA	Pol II
chr1	120476851	120476923	RNA46	72	0				0.0	tRNA	Pol III
chr1	120844261	120844335	RNA47	74	0				0.0	tRNA	Pol III
chr1	120945288	120945362	RNA48	74	0				0.0	tRNA	Pol III
chr1	120952290	120952364	RNA49	74	0				0.0	tRNA	Pol III
chr1	121006694	121006768	RNA50	74	0				0.0	tRNA	Pol III
chr1	121016844	121016915	RNA51	71	0				0.0	tRNA	Pol III
chr1	121020728	121020801	RNA52	73	0				0.0	tRNA	Pol III
chr1	121048431	121048505	RNA53	74	30	0.0001215950433712	7.348399776674342e-06	1.0	405405.40540540544	tRNA	Pol III
chr1	143661181	143661253	RNA54	72	0				0.0	tRNA	Pol III
chr1	143691473	143691545	RNA55	72	0				0.0	tRNA	Pol III
chr1	143720509	143720644	RNA56	135	0				0.0	snRNA	Pol II
chr1	143735919	143735993	RNA57	74	0				0.0	tRNA	Pol III
chr1	143789867	143789941	RNA58	0	0					tRNA	Pol III
chr1	143800040	143800111	RNA59	0	0					tRNA	Pol III
chr1	143803993	143804066	RNA60	73	73	0.0137737510481388	1.51980002556229e-05	0.9863013698630136	1000000.0	tRNA	Pol III
chr1	143831707	143831781	RNA61	74	26	0.0384688716610001	1.5143949894991238e-05	0.9615384615384616	351351.35135135136	tRNA	Pol III
chr1	144419266	144419340	RNA62	74	0				0.0	tRNA	Pol III
chr1	144567514	144567588	RNA63	74	0				0.0	tRNA	Pol III
chr1	145129238	145129312	RNA64	74	0				0.0	tRNA	Pol III
chr1	145157156	145157229	RNA65	73	90	0.0444657000067309	1.4712400115968194e-05	0.9555555555555556	1232876.7123287672	tRNA	Pol III
chr1	145459657	145459729	RNA66	4	0				0.0	tRNA	Pol III
chr1	145475380	145475454	RNA67	74	48	1.623128546649789e-05	1.4698749964736637e-05	1.0	648648.6486486486	tRNA	Pol III
chr1	146035691	146035763	RNA68	72	0				0.0	tRNA	Pol III
chr1	146038043	146038115	RNA69	72	0				0.0	tRNA	Pol III
chr1	146039400	146039473	RNA70	73	0				0.0	tRNA	Pol III
chr1	146049197	146049273	RNA71	76	0				0.0	tRNA	Pol III
chr1	146370100	146370174	RNA72	74	0				0.0	tRNA	Pol III
chr1	146486571	146486645	RNA73	74	0				0.0	tRNA	Pol III
chr1	147005200	147005272	RNA74	72	0				0.0	tRNA	Pol III
chr1	147084615	147084756	RNA75	141	115	0.0271935700544418	1.4700700376124589e-05	0.9652173913043478	815602.8368794326	snRNA	Pol II
chr1	148048515	148048589	RNA76	74	48	0.0210685547538863	1.4699399798701052e-05	0.9791666666666666	648648.6486486486	tRNA	Pol III
chr1	148328811	148328883	RNA77	72	0				0.0	tRNA	Pol III
chr1	149740247	149740321	RNA78	74	42	0.0046759110837228	0.0	0.9523809523809524	567567.5675675676	tRNA	Pol III
chr1	150045405	150045476	RNA79	71	16	0.0625251144624599	0.0	0.9375	225352.11267605636	tRNA	Pol III
chr1	150261693	150261797	RNA80	104	20	1.6908274665181253e-05	7.348200142587302e-06	1.0	192307.6923076923	snoRNA	Pol II
chr1	150551928	150552014	RNA81	86	10	1.9148749925079755e-05	2.2052149688533973e-05	1.0	116279.06976744186	pre_miRNA	Pol II
chr1	153671249	153671321	RNA82	72	74	2.58894637153297e-05	1.4699799976369832e-05	1.0	1027777.7777777776	tRNA	Pol III
chr1	153689704	153689793	RNA83	89	19	1.4701673535455484e-05	1.4699799976369832e-05	1.0	213483.1460674157	pre_miRNA	Pol II
chr1	154193664	154193743	RNA84	79	9	7.022516880775186e-05	1.470159986638464e-05	1.0	113924.0506329114	pre_miRNA	Pol II
chr1	154259726	154259862	RNA85	136	46	2.8775569242732464e-05	1.4698500308440998e-05	1.0	338235.2941176471	snoRNA	Pol II
chr1	155195176	155195272	RNA86	96	14	1.7929121375862805e-05	1.4706499769090442e-05	1.0	145833.33333333334	pre_miRNA	Pol II
chr1	155919908	155920042	RNA87	134	25	8.82261596416356e-06	0.0	1.0	186567.1641791045	snoRNA	Pol II
chr1	155925957	155926086	RNA88	129	0				0.0	scaRNA	Pol II
chr1	156936130	156936244	RNA89	114	22	0.0454632346997062	0.0	0.9545454545454546	192982.45614035087	pre_miRNA	Pol II
chr1	161440170	161440242	RNA90	72	48	0.0624897409478535	1.4704150089528412e-05	0.9166666666666666	666666.6666666666	tRNA	Pol III
chr1	161440824	161440896	RNA91	72	70	0.0142937960405236	1.4762750197405694e-05	0.9714285714285714	972222.2222222222	tRNA	Pol III
chr1	161441532	161441615	RNA92	0	0					tRNA	Pol III
chr1	161443303	161443374	RNA93	71	0				0.0	tRNA	Pol III
chr1	161480565	161480636	RNA94	71	0				0.0	tRNA	Pol III
chr1	161523144	161523216	RNA95	72	22	1.0692354532110983e-05	0.0	1.0	305555.5555555556	tRNA	Pol III
chr1	161523846	161523917	RNA96	71	122	0.0001489183673062	1.4710400137118992e-05	1.0	1718309.8591549294	tRNA	Pol III
chr1	161540240	161540314	RNA97	74	81	6.80682614984053e-05	1.4699399798701052e-05	1.0	1094594.5945945946	tRNA	Pol III
chr1	161604797	161604869	RNA98	72	27	0.1325025259582414	1.476279976486694e-05	0.8518518518518519	375000.0	tRNA	Pol III
chr1	161611945	161612029	RNA99	84	28	0.2114817269779385	1.4756450127606511e-05	0.7857142857142857	333333.3333333333	tRNA	Pol III
chr1	161612717	161612789	RNA100	72	79	0.0886782936938139	1.477450041420525e-05	0.9113924050632912	1097222.2222222222	tRNA	Pol III
chr1	161621674	161621748	RNA101	74	53	0.1325391716988101	1.4754000403627288e-05	0.8679245283018868	716216.2162162162	tRNA	Pol III
chr1	167714724	167714796	RNA102	72	32	1.3322850037410312e-05	0.0	1.0	444444.4444444445	tRNA	Pol III
chr1	173864145	173864222	RNA103	77	18	1.3880411036851178e-05	0.0	1.0	233766.23376623372	snoRNA	Pol II
chr1	173864368	173864445	RNA104	77	16	1.1024712591733987e-05	0.0	1.0	207792.2077922078	snoRNA	Pol II
chr1	173864832	173864903	RNA105	71	16	1.0104956231771212e-05	1.469744984206045e-05	1.0	225352.11267605636	snoRNA	Pol II
chr1	173865349	173865430	RNA106	81	6	2.450116729354098e-06	0.0	1.0	74074.07407407407	snoRNA	Pol II
chr1	173866204	173866290	RNA107	86	29	0.0002468335924904	0.0	1.0	337209.3023255814	snoRNA	Pol II
chr1	173866634	173866715	RNA108	81	23	8.307130369560227e-06	0.0	1.0	283950.6172839506	snoRNA	Pol II
chr1	173867673	173867745	RNA109	72	14	9.453414220063547e-06	0.0	1.0	194444.44444444444	snoRNA	Pol II
chr1	180215140	180215213	RNA110	73	13	1.2439584399824244e-05	1.4698999621032272e-05	1.0	178082.19178082192	tRNA	Pol III
chr1	193057280	193057415	RNA111	135	29	0.0348760954730723	1.4697199731017465e-05	0.9655172413793104	214814.81481481483	scaRNA	Pol II
chr1	193136502	193136583	RNA112	81	16	1.194971883933249e-05	0.0	1.0	197530.86419753084	pre_miRNA	Pol II
chr1	198858872	198858982	RNA113	110	11	4.811350961310616e-05	1.4699799976369832e-05	1.0	100000.0	pre_miRNA	Pol II
chr1	201808610	201808702	RNA114	92	16	3.1230637489438093e-05	0.0	1.0	173913.04347826086	pre_miRNA	Pol II
chr1	201978460	201978595	RNA115	135	26	3.0537895816863976e-05	1.4700300198455809e-05	1.0	192592.59259259255	snoRNA	Pol II
chr1	202003123	202003236	RNA116	113	20	3.3072340693243614e-05	1.4698299764859256e-05	1.0	176991.15044247787	pre_miRNA	Pol II
chr1	203729580	203729705	RNA117	125	22	1.6716286361105276e-05	1.4698100130772218e-05	1.0	176000.0	snoRNA	Pol II
chr1	204506526	204506599	RNA118	73	0				0.0	tRNA	Pol III
chr1	205474142	205474215	RNA119	73	18	0.0555988450835482	1.470200004405342e-05	0.9444444444444444	246575.3424657534	tRNA	Pol III
chr1	212352817	212352950	RNA120	133	24	0.0091886393294089	1.469744984206045e-05	0.9583333333333334	180451.12781954888	snoRNA	Pol II
chr1	220200545	220200676	RNA121	131	29	3.751760247943188e-05	0.0	1.0	221374.04580152672	snoRNA	Pol II
chr1	222465004	222465077	RNA122	73	75	2.4106444216155345e-05	1.4697699953103438e-05	1.0	1027397.2602739728	tRNA	Pol III
chr1	231019827	231019924	RNA123	97	17	6.91721123289644e-05	1.4694600395159796e-05	1.0	175257.7319587629	pre_miRNA	Pol II
chr1	235127802	235127937	RNA124	135	36	3.470527275971398e-05	7.348599865508732e-06	1.0	266666.6666666667	snoRNA	Pol II
chr1	241132271	241132346	RNA125	75	13	4.636278677375425e-05	0.0	1.0	173333.33333333334	pre_miRNA	Pol II
chr1	244854086	244854217	RNA126	131	12	8.04682501135782e-06	0.0	1.0	91603.0534351145	snoRNA	Pol II
chr10	5853710	5853783	RNA127	73	41	1.937703406683123e-05	1.47024002217222e-05	1.0	561643.8356164384	tRNA	Pol III
chr10	7186679	7186784	RNA128	105	22	9.354041057204912e-06	0.0	1.0	209523.80952380956	snoRNA	Pol II
chr10	12725253	12725353	RNA129	100	14	3.150563608349682e-05	1.4699150142405417e-05	1.0	140000.0	pre_miRNA	Pol II
chr10	20551969	20552046	RNA130	77	25	0.0001819063180664	1.4712400115968194e-05	1.0	324675.32467532466	pre_miRNA	Pol II
chr10	22563649	22563722	RNA131	73	21	1.7501219017070807e-05	1.4698100130772218e-05	1.0	287671.23287671234	tRNA	Pol III
chr10	28073236	28073378	RNA132	142	24	0.0417358887585805	7.349699899350526e-06	0.9583333333333334	169014.08450704225	snoRNA	Pol II
chr10	32901333	32901472	RNA133	139	22	0.0046777987199261	0.0	0.9545454545454546	158273.38129496403	snoRNA	Pol II
chr10	67764502	67764584	RNA134	82	35	1.219741129066928e-05	1.469590006308863e-05	1.0	426829.2682926829	tRNA	Pol III
chr10	73126079	73126207	RNA135	128	13	0.0001571616846306	1.469590006308863e-05	1.0	101562.5	snoRNA	Pol II
chr10	100974984	100975084	RNA136	100	18	0.0447316497875363	0.0	0.9444444444444444	180000.0	pre_miRNA	Pol II
chr10	104048088	104048186	RNA137	98	24	0.0004654399383525	0.0	1.0	244897.95918367343	pre_miRNA	Pol II
chr10	112634169	112634254	RNA138	85	12	2.08220089158733e-05	7.348599865508732e-06	1.0	141176.4705882353	pre_miRNA	Pol II
chr10	119060010	119060138	RNA139	128	22	3.5410095403095974e-05	1.469529979658546e-05	1.0	171875.0	snoRNA	Pol II
chr11	568088	568198	RNA140	110	23	2.5562352398671828e-05	1.4696400285174605e-05	1.0	209090.9090909091	pre_miRNA	Pol II
chr11	811680	811814	RNA141	134	36	9.798891697856665e-06	1.4696599919261644e-05	1.0	268656.7164179105	snoRNA	Pol II
chr11	1880044	1880147	RNA142	103	29	0.0001987596549889	1.4702900443808176e-05	1.0	281553.3980582524	pre_miRNA	Pol II
chr11	2134133	2134209	RNA143	76	8	3.307256167771835e-05	1.4699400253448404e-05	1.0	105263.15789473684	pre_miRNA	Pol II
chr11	2173062	2173138	RNA144	76	9	0.0012352240268632	0.0	1.0	118421.05263157896	pre_miRNA	Pol II
chr11	2963770	2963893	RNA145	123	24	4.163983256451028e-05	1.4696999642183076e-05	1.0	195121.9512195122	snoRNA	Pol II
chr11	8684226	8684356	RNA146	130	27	0.0001164841650178	1.469590006308863e-05	1.0	207692.3076923077	snoRNA	Pol II
chr11	8685438	8685569	RNA147	131	35	0.0049046257736335	0.0	0.9714285714285714	267175.572519084	snoRNA	Pol II
chr11	9275242	9275316	RNA148	74	14	1.1548257134563755e-05	1.4696799553348685e-05	1.0	189189.1891891892	tRNA	Pol III
chr11	10801466	10801608	RNA149	142	53	0.0312023867968577	1.4696400285174605e-05	0.9433962264150944	373239.4366197183	snoRNA	Pol II
chr11	12163682	12163767	RNA150	85	14	9.449028571647691e-06	7.347950031544315e-06	1.0	164705.88235294115	pre_miRNA	Pol II
chr11	16925937	16926022	RNA151	85	28	0.0004550601069825	0.0	1.0	329411.76470588235	snoRNA	Pol II
chr11	17074652	17074744	RNA152	92	21	0.003230779947054	0.0	0.9523809523809524	228260.86956521735	snoRNA	Pol II
chr11	17075777	17075868	RNA153	91	23	1.6615821471570725e-05	0.0	1.0	252747.25274725276	snoRNA	Pol II
chr11	27514969	27515047	RNA154	78	17	1.2975241374715573e-05	0.0	1.0	217948.71794871797	pre_miRNA	Pol II
chr11	34941836	34941920	RNA155	84	26	0.0076682088922377	1.4699799976369832e-05	0.9615384615384616	309523.8095238095	pre_miRNA	Pol II
chr11	43581393	43581483	RNA156	90	9	6.533155606626275e-06	0.0	1.0	100000.0	pre_miRNA	Pol II
chr11	46451804	46451889	RNA157	85	15	8.172313512962621e-06	0.0	1.0	176470.58823529413	pre_miRNA	Pol II
chr11	46451806	46451887	RNA158	81	14	6.605750188880068e-06	0.0	1.0	172839.5061728395	pre_miRNA	Pol II
chr11	46762388	46762499	RNA159	111	20	1.102386004276923e-05	0.0	1.0	180180.18018018015	snoRNA	Pol II
chr11	47179610	47179737	RNA160	127	14	3.4651828692789666e-05	7.349250154220499e-06	1.0	110236.22047244094	pre_miRNA	Pol II
chr11	50274707	50274779	RNA161	72	20	1.3231929915491492e-05	1.4699199709866662e-05	1.0	277777.7777777778	tRNA	Pol III
chr11	59550628	59550701	RNA162	73	102	3.8341795195312935e-05	1.4699399798701052e-05	1.0	1397260.2739726028	tRNA	Pol III
chr11	59551754	59551837	RNA163	83	44	2.0042888371044383e-05	1.4698100130772218e-05	1.0	530120.4819277109	tRNA	Pol III
chr11	59556428	59556501	RNA164	73	69	0.0015825042054385	0.0	0.9855072463768116	945205.4794520548	tRNA	Pol III
chr11	59566379	59566452	RNA165	73	89	5.334512077118111e-05	1.4697699953103438e-05	1.0	1219178.082191781	tRNA	Pol III
chr11	62854620	62854695	RNA166	75	15	7.8388999706173e-06	0.0	1.0	200000.0	snoRNA	Pol II
chr11	62855011	62855083	RNA167	72	20	1.5433980070156395e-05	7.348399776674342e-06	1.0	277777.7777777778	snoRNA	Pol II
chr11	62855291	62855366	RNA168	75	30	1.3231186676421202e-05	7.348200142587302e-06	1.0	400000.0	snoRNA	Pol II
chr11	64891136	64891246	RNA169	110	38	2.05217109779397e-05	1.470694996896782e-05	1.0	345454.54545454547	pre_miRNA	Pol II
chr11	64898362	64898437	RNA170	75	8	5.514550025509379e-06	0.0	1.0	106666.66666666669	pre_miRNA	Pol II
chr11	66053143	66053228	RNA171	85	21	0.013414362801216	0.0	0.9523809523809524	247058.82352941175	snoRNA	Pol II
chr11	66348119	66348201	RNA172	82	54	3.620194246212477e-05	1.4698500308440998e-05	1.0	658536.5853658537	tRNA	Pol III
chr11	70283954	70284070	RNA173	116	26	2.1483884770878904e-05	1.469705011913902e-05	1.0	224137.93103448275	pre_miRNA	Pol II
chr11	74399236	74399333	RNA174	97	16	0.0098647079251463	1.4696349808218656e-05	0.9375	164948.45360824742	pre_miRNA	Pol II
chr11	76235512	76235584	RNA175	72	115	3.3139594107400695e-05	1.4708900380355772e-05	1.0	1597222.2222222222	tRNA	Pol III
chr11	76235824	76235896	RNA176	72	80	2.3007372590198656e-05	1.4728199857927391e-05	1.0	1111111.1111111112	tRNA	Pol III
chr11	79402021	79402109	RNA177	88	14	3.1495285708972787e-06	0.0	1.0	159090.9090909091	pre_miRNA	Pol II
chr11	83041463	83041598	RNA178	135	31	8.063090336368162e-06	0.0	1.0	229629.62962962964	snoRNA	Pol II
chr11	88176501	88176593	RNA179	92	21	0.0044114625843143	0.0	0.9523809523809524	228260.86956521735	pre_miRNA	Pol II
chr11	90869120	90869202	RNA180	82	17	1.2132388345729425e-05	1.4730099792359397e-05	1.0	207317.0731707317	pre_miRNA	Pol II
chr11	93730512	93730646	RNA181	133	31	1.4907980438426084e-05	0.0	1.0	233082.70676691728	snoRNA	Pol II
chr11	93730978	93731099	RNA182	121	28	0.0144126397003674	0.0	0.9642857142857144	231404.958677686	snoRNA	Pol II
chr11	93731502	93731573	RNA183	71	13	3.280446918114672e-05	1.470460028940579e-05	1.0	183098.5915492958	snoRNA	Pol II
chr11	93732003	93732133	RNA184	130	21	0.000109926744439	0.0	1.0	161538.46153846156	snoRNA	Pol II
chr11	93732360	93732499	RNA185	139	31	2.2286319871188307e-05	1.4698100130772218e-05	1.0	223021.58273381292	snoRNA	Pol II
chr11	93733227	93733300	RNA186	73	11	1.202614542059812e-05	1.4699799976369832e-05	1.0	150684.9315068493	snoRNA	Pol II
chr11	93733465	93733597	RNA187	132	29	1.0655324299948226e-05	0.0	1.0	219696.9696969697	snoRNA	Pol II
chr11	93735109	93735236	RNA188	127	37	2.30404702469438e-05	1.4698500308440998e-05	1.0	291338.58267716534	snoRNA	Pol II
chr11	100934273	100934378	RNA189	105	23	3.133933932985473e-05	0.0	1.0	219047.61904761905	snoRNA	Pol II
chr11	109165310	109165393	RNA190	83	19	0.0005732372309418	1.469549988541985e-05	1.0	228915.6626506024	tRNA	Pol III
chr11	119190566	119190641	RNA191	75	0				0.0	snoRNA	Pol II
chr11	122559946	122560019	RNA192	73	36	0.0010118056746553	1.4705199646414258e-05	1.0	493150.6849315068	tRNA	Pol III
chr11	123058076	123058161	RNA193	85	29	9.660944889564516e-06	0.0	1.0	341176.4705882353	snoRNA	Pol II
chr11	123058908	123058995	RNA194	87	33	0.0111862066446657	1.4696400285174605e-05	0.9696969696969696	379310.3448275862	snoRNA	Pol II
chr11	123059334	123059422	RNA195	88	28	1.114487505609342e-05	0.0	1.0	318181.8181818182	snoRNA	Pol II
chr11	133898503	133898581	RNA196	78	22	3.207209961559595e-05	1.4699399798701052e-05	1.0	282051.28205128206	pre_miRNA	Pol II
chr11	134151287	134151363	RNA197	76	23	3.195612201955024e-05	0.0	1.0	302631.5789473684	snoRNA	Pol II
chr12	6581472	6581609	RNA198	137	29	0.0021834341202426	0.0	0.9655172413793104	211678.8321167883	scaRNA	Pol II
chr12	27690372	27690445	RNA199	73	13	0.0021660853097693	1.4698500308440998e-05	1.0	178082.19178082192	tRNA	Pol III
chr12	47187811	47187891	RNA200	80	21	0.0155377051544183	1.4728399946761783e-05	0.9523809523809524	262500.0	pre_miRNA	Pol II
chr12	48654381	48654518	RNA201	137	25	7.055587921058759e-06	0.0	1.0	182481.7518248175	snoRNA	Pol II
chr12	48654443	48654530	RNA202	87	13	7.914892264055266e-06	0.0	1.0	149425.28735632185	pre_miRNA	Pol II
chr12	48656647	48656782	RNA203	135	27	0.0370522913337346	0.0	0.9629629629629628	200000.0	snoRNA	Pol II
chr12	48667456	48667593	RNA204	137	24	2.5107557955072243e-05	7.347950031544315e-06	1.0	175182.48175182482	snoRNA	Pol II
chr12	54337215	54337314	RNA205	99	12	7.3495166361681186e-06	0.0	1.0	121212.12121212122	pre_miRNA	Pol II
chr12	56190363	56190445	RNA206	82	59	2.4041927043964505e-05	1.47240998558118e-05	1.0	719512.1951219512	tRNA	Pol III
chr12	56512864	56512980	RNA207	116	12	0.0833480330999615	1.4699400253448404e-05	0.9166666666666666	103448.27586206896	snoRNA	Pol II
chr12	56643679	56643754	RNA208	75	18	0.0001175808947159	1.4696599919261644e-05	1.0	240000.0	snoRNA	Pol II
chr12	56645026	56645101	RNA209	75	9	4.899555480935507e-06	0.0	1.0	120000.0	snoRNA	Pol II
chr12	57824608	57824692	RNA210	84	6	7.349566658376716e-06	7.349050065386109e-06	1.0	71428.57142857142	pre_miRNA	Pol II
chr12	62260358	62260454	RNA211	96	48	2.2046329263500768e-05	1.4696799553348685e-05	1.0	500000.0	pre_miRNA	Pol II
chr12	62603685	62603769	RNA212	84	12	3.184414125219486e-05	1.4699799976369832e-05	1.0	142857.14285714284	pre_miRNA	Pol II
chr12	68627233	68627375	RNA213	142	30	2.597563682987305e-05	7.35079993319232e-06	1.0	211267.6056338028	snoRNA	Pol II
chr12	69584722	69584822	RNA214	100	3	0.0	0.0	1.0	30000.0	pre_miRNA	Pol II
chr12	80935735	80935833	RNA215	98	17	0.0082974864631871	1.4698500308440998e-05	0.9411764705882352	173469.38775510204	pre_miRNA	Pol II
chr12	94834397	94834513	RNA216	116	23	0.0026163378561645	0.0	0.9565217391304348	198275.86206896557	pre_miRNA	Pol II
chr12	95308419	95308513	RNA217	94	4	1.8376000298303552e-05	1.4702450243930798e-05	1.0	42553.1914893617	pre_miRNA	Pol II
chr12	98503502	98503574	RNA218	72	85	2.645635270121305e-05	1.4696799553348685e-05	1.0	1180555.5555555555	tRNA	Pol III
chr12	98504251	98504323	RNA219	72	58	1.9303629524700277e-05	1.470220013288781e-05	1.0	805555.5555555556	tRNA	Pol III
chr12	104591632	104591716	RNA220	84	12	0.0229842487991239	0.0	0.9166666666666666	142857.14285714284	pre_miRNA	Pol II
chr12	112037598	112037715	RNA221	117	13	1.863685380298053e-05	1.6164000044227578e-05	1.0	111111.11111111112	pre_miRNA	Pol II
chr12	119713633	119713724	RNA222	91	11	0.0899746884985109	1.4696400285174605e-05	0.9090909090909092	120879.12087912088	pre_miRNA	Pol II
chr12	122376376	122376447	RNA223	71	16	2.297442472353701e-05	1.4704599834658438e-05	1.0	225352.11267605636	tRNA	Pol III
chr12	123364763	123364843	RNA224	80	46	4.7212892201530085e-05	0.0	1.0	575000.0	pre_miRNA	Pol II
chr12	123536408	123536534	RNA225	126	22	0.0001841510327474	1.471740006309119e-05	1.0	174603.1746031746	pre_miRNA	Pol II
chr12	123616709	123616840	RNA226	131	20	0.028413079586744	1.4696599919261644e-05	0.95	152671.75572519086	snoRNA	Pol II
chr12	124927842	124927915	RNA227	73	100	4.248238974468677e-05	1.4697699953103438e-05	1.0	1369863.01369863	tRNA	Pol III
chr12	124939965	124940037	RNA228	72	108	0.0094399805098469	1.4701600321131991e-05	0.9907407407407408	1500000.0	tRNA	Pol III
chr13	27255063	27255135	RNA229	72	13	2.940334623137186e-05	1.4698100130772218e-05	1.0	180555.5555555556	snoRNA	Pol II
chr13	27255400	27255526	RNA230	126	28	1.9945939129682223e-05	1.4696400285174605e-05	1.0	222222.22222222225	snoRNA	Pol II
chr13	41455924	41455997	RNA231	73	28	0.035009281317798	0.0	0.9642857142857144	383561.6438356164	tRNA	Pol III
chr13	44917926	44917998	RNA232	72	98	4.649660212059399e-05	1.4698300219606608e-05	1.0	1361111.1111111112	tRNA	Pol III
chr13	45336313	45336447	RNA233	134	0				0.0	snoRNA	Pol II
chr13	45337479	45337609	RNA234	130	0				0.0	snoRNA	Pol II
chr13	51552588	51552667	RNA235	79	20	7.128479978745693e-05	1.4696400285174605e-05	1.0	253164.5569620253	pre_miRNA	Pol II
