Chromosome,Start,End,Length_exon1,Length_exon2,Strand,GeneID
chr11,43569305,43570400,268,634,+,URS00008120ED_9606
chr11,44973901,44978027,506,98,+,URS000075A793_9606
chr11,45771431,45772358,283,366,+,URS000075E6BC_9606
chr11,60615750,60687148,102,98,+,URS0000759996_9606
chr11,64245865,64248214,224,262,+,URS0000A76754_9606
chr11,65179870,65181834,610,1202,-,URS0000ABD8A5_9606
chr11,66347990,66363764,80,496,+,URS0000A765B6_9606
chr11,67602878,67606706,89,120,-,URS00007C9E84_9606
chr11,69012353,69018447,195,114,+,URS000075D8FB_9606
chr11,71448561,71452156,324,467,+,URS00022B4028_9606
chr11,73157172,73182911,122,841,-,URS00022B6AB1_9606
chr11,73307510,73309361,690,683,-,URS0000BC44BA_9606
chr11,76441329,76444688,484,310,-,URS00025EEC56_9606
chr11,77738168,77739709,522,762,-,URS00025E34B1_9606
chr11,78423982,78429836,137,222,-,URS000075ED9D_9606
chr11,80751200,80762803,826,91,-,URS000075C669_9606
chr11,102452918,102462038,131,591,+,URS0000A764DE_9606
chr11,110355113,110406908,405,174,+,URS0000ABD8E2_9606
chr11,111091931,111097318,89,380,-,URS0000BC44DA_9606
chr11,111510600,111513888,272,872,+,URS00008BFFB5_9606
chr11,112534221,112555802,126,197,-,URS000075D9A0_9606
chr11,115755332,115760200,171,112,-,URS000075BB5B_9606
chr11,116496899,116500683,142,831,-,URS00025E3586_9606
chr11,118519385,118530775,272,107,-,URS000075A114_9606
chr11,126940745,126945090,179,152,+,URS000075C7CB_9606
chr11,127271069,127337033,104,122,+,URS000075B56C_9606
chr11,128208765,128241441,177,82,+,URS0000BC4413_9606
chr11,128526141,128530383,174,886,+,URS000075B558_9606
chr11,128899564,128906231,83,181,-,URS0001BBE59D_9606
chr11,130314992,130403657,123,149,+,URS0000BC44D8_9606
chr12,166972,182399,332,735,-,URS00022B145A_9606
chr12,2740031,2745519,170,107,+,URS00025F651D_9606
chr12,8356963,8390752,483,178,-,URS000075A8FE_9606
chr12,9055588,9065070,803,1257,-,URS000075B6CD_9606
chr12,10213648,10215067,426,316,-,URS0002123226_9606
chr12,10553378,10558794,138,1459,+,URS0000BC462C_9606
chr12,11548029,11564401,331,132,+,URS000075C0A6_9606
chr12,20120979,20127901,86,97,-,URS0000BC4426_9606
chr12,24993430,24997465,234,143,-,URS00021231BA_9606
chr12,25954654,25957585,133,123,-,URS000075DAC8_9606
chr12,27389788,27446634,138,200,-,URS000075C2DD_9606
chr12,29389280,29394650,174,112,+,URS000075CEFB_9606
chr12,30978362,31005920,125,119,-,URS000077152B_9606
chr12,40156238,40167847,105,600,+,URS0000BC44A2_9606
chr12,49292629,49324576,86,194,-,URS000057AC12_9606
chr12,52058749,52059500,400,284,-,URS0002123198_9606
chr12,52210929,52223880,91,113,+,URS0000ABD7CE_9606
chr12,52245042,52247448,272,1426,-,URS0000BC43E1_9606
chr12,53043187,53054438,119,180,-,URS0000611D31_9606
chr12,53298656,53300375,233,473,-,URS00025E6F93_9606
chr12,53962307,53968756,140,126,-,URS000075C808_9606
chr12,54126070,54132842,542,853,+,URS000075A06D_9606
chr12,55729093,55730857,262,1196,+,URS00022B6B9A_9606
chr12,57726239,57728356,139,1392,+,URS000075E9B8_9606
chr12,57931448,57936164,326,84,-,URS000075D52A_9606
chr12,58920668,59065312,157,74,+,URS00022B142E_9606
chr12,64883773,64977522,92,122,+,URS000075EF57_9606
chr12,65602868,65612987,113,202,+,URS0000BC4577_9606
chr12,67929234,67970017,153,113,+,URS000075DA35_9606
chr12,72262546,72273509,745,340,-,URS000075E8D2_9606
chr12,74133175,74292631,317,87,-,URS000075BF55_9606
chr12,91984975,92142831,225,160,-,URS00008E3966_9606
chr12,95803096,95823314,174,226,+,URS0000A76CFC_9606
chr12,110936601,110937446,97,262,+,URS000075E0AF_9606
chr12,114408194,114412832,91,180,+,URS000075C09F_9606
chr12,118758752,118761679,89,95,-,URS00003884B6_9606
chr12,118818806,118833536,150,82,-,URS0000A7699F_9606
chr12,120201290,120212828,136,77,+,URS000075E544_9606
chr12,122063288,122068560,243,134,+,URS0000A77235_9606
chr12,122395541,122399944,124,123,+,URS000075B10A_9606
chr12,126400790,126449327,109,152,-,URS00008B2436_9606
chr12,126869493,126874690,234,179,-,URS000075E0B5_9606
chr12,126915227,127060397,311,200,-,URS000075E9AF_9606
chr12,127274271,127284283,142,401,-,URS0000BC4612_9606
chr12,129208600,129212660,353,166,+,URS000075B018_9606
chr12,130071334,130072685,304,399,+,URS0000BC452D_9606
chr12,132275390,132280900,446,300,+,URS000075F009_9606
chr13,19561338,19588495,175,151,+,URS0002278345_9606
chr13,20938562,20949428,125,104,-,URS000075DBFF_9606
chr13,22876391,22916369,652,433,-,URS0000A769F1_9606
chr13,24331449,24337120,87,482,+,URS00008E39E9_9606
chr13,27819091,27917291,142,529,-,URS0000ABD8D4_9606
chr13,29476514,29487750,251,438,-,URS000075AE05_9606
chr13,30882561,30883395,98,302,+,URS000075E4FB_9606
chr13,30930671,30932608,333,691,-,URS000075C7C2_9606
chr13,32809189,32911652,630,84,-,URS000075E824_9606
chr13,33277552,33281334,144,197,+,URS000075B77B_9606
chr13,33333845,33335266,262,204,-,URS0000BC4642_9606
chr13,34348042,34616292,82,88,+,URS0000BC4438_9606
chr13,40450933,40481006,98,102,-,URS000075C127_9606
chr13,42810364,42812562,172,325,-,URS000060E43B_9606
chr13,44142327,44154075,369,181,+,URS000075D262_9606
chr13,44400249,44405984,371,706,-,URS000075BBEF_9606
chr13,44575895,44580432,375,136,+,URS000075B8E6_9606
chr13,44640368,44701016,75,104,+,URS0000BC4527_9606
chr13,48296512,48303702,412,154,-,URS0000E60ABC_9606
chr13,50807854,50849905,132,167,+,URS000075D421_9606
chr13,51453344,51454715,74,713,+,URS000075B759_9606
chr13,54124323,54132871,259,198,-,URS000075E99D_9606
chr13,60012717,60044356,141,88,+,URS000075BEA5_9606
chr13,60214346,60268104,150,214,-,URS000081220A_9606
chr13,62323656,62328835,298,80,+,URS0000BC454A_9606
chr13,67372386,67379994,84,101,+,URS0000812100_9606
chr13,75871037,75883813,206,78,+,URS0000EEACB6_9606
chr13,79406308,79424333,169,226,+,URS000075EA5C_9606
chr13,79804385,79805682,99,358,+,URS00007E3D13_9606
chr13,96941279,96984172,114,103,-,URS000075DF65_9606
chr13,102367529,102373666,112,243,+,URS00007E3644_9606
chr13,106376563,106377792,102,218,+,URS0000E60AFA_9606
chr13,106653879,106672180,275,283,+,URS000075C049_9606
chr13,109100554,109101958,416,160,-,URS0002123196_9606
chr13,109163904,109167303,285,75,-,URS000075E4D6_9606
chr13,109400695,109401639,113,299,+,URS00007E3588_9606
chr13,110121701,110125234,226,184,+,URS0000BC43EC_9606
chr13,110456396,110463287,265,196,-,URS0002123245_9606
chr13,110966026,110990602,93,623,+,URS00007E4E65_9606
chr13,112105356,112106882,284,882,-,URS00022B879A_9606
chr13,112197332,112201000,76,125,+,URS000075ACC7_9606
chr13,113815609,113842841,82,88,+,URS000075CA64_9606
chr13,114106313,114109779,1139,1455,-,URS00021231E9_9606
chr14,19015712,19055692,1080,846,+,URS000194B0D2_9606
chr14,22379404,22482959,107,118,-,URS0000BC4625_9606
chr14,23561096,23568075,777,114,+,URS000075E733_9606
chr14,26873132,26914743,162,146,+,URS00002B5786_9606
chr14,27612587,27639636,90,76,+,URS000075E5F2_9606
chr14,28772703,28794794,152,74,+,URS000075E7AC_9606
chr14,31944852,31950294,256,206,+,URS0000BC4568_9606
chr14,34916479,34982566,143,138,-,URS0000CCE0AE_9606
chr14,44763156,44799126,151,83,-,URS0000BC44A6_9606
chr14,51304310,51328385,256,530,-,URS0000ABD7DD_9606
chr14,51392128,51397135,136,150,-,URS0000BC45F9_9606
chr14,56813157,56931308,312,109,+,URS0000BC44B3_9606
chr14,58828286,59017328,269,190,+,URS00002E7567_9606
chr14,60323195,60323907,81,297,+,URS0000BC450D_9606
chr14,70809696,70816830,969,133,+,URS00025F5B93_9606
chr14,73787359,73803628,150,90,+,URS000075D197_9606
chr14,85934677,86129777,184,105,+,URS0000759BB4_9606
chr14,88018603,88026312,226,103,-,URS000075DEBF_9606
chr14,88024549,88087344,120,75,+,URS00001AD995_9606
chr14,90455229,90458905,149,110,+,URS000075CF09_9606
chr14,93904733,93926372,97,600,-,URS0000CCDFA7_9606
chr14,94770640,94773607,800,1428,+,URS0000A77281_9606
chr14,95532911,95534872,1180,150,-,URS000075DE81_9606
chr14,95573561,95578681,121,1253,+,URS0000BC4587_9606
chr14,95652096,95673452,130,113,+,URS0000CCE05D_9606
chr14,97458815,97464159,112,529,+,URS000075DF4F_9606
chr14,97925608,97978124,149,276,-,URS00007BF2D9_9606
chr14,98136006,98163151,191,318,+,URS00022B0E07_9606
chr14,98711612,98717766,174,170,+,URS0000E60A72_9606
chr14,100883056,100907490,1312,108,+,URS00025E7A85_9606
chr14,101120855,101123545,289,657,+,URS0000BC44FB_9606
chr14,101442075,101444314,182,333,+,URS0000A767BA_9606
chr14,103120848,103122909,301,183,-,URS0000A76680_9606
chr14,104134782,104138629,1100,376,-,URS0000D780C7_9606
chr14,105917978,105932642,839,109,+,URS000075B927_9606
chr14,106287672,106288372,294,304,+,URS000075D64F_9606
chr14,106482438,106495515,199,194,+,URS000075AA0C_9606
chr15,20940437,20993304,329,186,+,URS000075C702_9606
chr15,21003276,21049836,483,146,+,URS0000ABD8C5_9606
chr15,21552772,21640521,93,158,+,URS0000CCE0EE_9606
chr15,23975145,24088154,110,98,+,URS00007E365A_9606
chr15,24558156,24587779,165,145,+,URS000075E11D_9606
chr15,25116543,25122476,972,116,+,URS000075A2F5_9606
chr15,26115812,26126371,210,105,+,URS000075E0C7_9606
chr15,27157734,27161319,298,131,-,URS000075C3A9_9606
chr15,32586103,32614746,311,98,-,URS0000A772C5_9606
chr15,33303656,33310245,96,100,-,URS000075D5A4_9606
chr15,38139610,38226897,148,106,-,URS0000EEC7FA_9606
chr15,41283989,41306533,121,139,+,URS0000CCE04C_9606
chr15,41921416,41929286,325,87,+,URS000075AF56_9606
chr15,44534504,44536923,881,970,-,URS000075DE67_9606
chr15,47803382,47846236,109,129,-,URS000019547E_9606
chr15,56886168,56918499,961,149,-,URS000075D60D_9606
chr15,58065224,58072705,518,120,+,URS0000BC458D_9606
chr15,60681568,60687249,427,75,+,URS000075B7D4_9606
chr15,61729917,61731389,87,808,+,URS0000BC464F_9606
chr15,62060502,62062434,341,1467,+,URS0000A775C3_9606
chr15,63587709,63600827,239,92,-,URS000075C5F6_9606
chr15,67834307,67838879,170,344,-,URS000075C387_9606
chr15,69403281,69415029,878,999,-,URS00008E3A4F_9606
chr15,71110243,71115504,376,129,-,URS0001BBE3ED_9606
chr15,73917467,73927786,133,236,-,URS000075AECF_9606
chr15,77641763,77649239,194,124,+,URS000075EF5C_9606
chr15,82750563,82757206,285,156,+,URS000075A784_9606
chr15,90074511,90082207,769,402,-,URS0000BC451E_9606
chr15,90660233,90664954,591,91,+,URS000075C5A5_9606
chr15,90952237,90954493,159,968,-,URS000212315D_9606
chr15,91022621,91031139,119,659,+,URS000075E68D_9606
chr15,93896059,93900599,249,100,-,URS0000A7645F_9606
chr15,95279289,95327100,271,133,-,URS000075C35D_9606
chr15,96772004,96783337,162,102,-,URS0000759A76_9606
chr15,97370370,97521811,231,138,-,URS000075A78C_9606
chr15,98323432,98331558,238,100,-,URS0000BC44C5_9606
chr15,100849751,100850578,159,368,+,URS0000E60AC9_9606
chr16,1064081,1078731,274,89,-,URS000075EBD1_9606
chr16,1713526,1714219,218,261,-,URS00022B06CD_9606
chr16,1878284,1884231,135,101,-,URS000075D281_9606
chr16,3052124,3059370,375,163,-,URS000075AB0F_9606
chr16,3125528,3134882,253,93,-,URS000075E750_9606
chr16,10514842,10528198,107,390,-,URS0000BC45FA_9606
chr16,11851621,11907054,466,123,+,URS00025E8379_9606
chr16,25066886,25068955,774,1177,+,URS0000A769BE_9606
chr16,26584754,26595456,89,223,-,URS00025F025B_9606
chr16,27447669,27453393,297,180,-,URS000075B66C_9606
chr16,46973788,46978983,337,379,+,URS00025EEB23_9606
chr16,47965688,47971687,322,325,+,URS0000BC443E_9606
chr16,50806671,50807629,136,212,+,URS0000BC455D_9606
chr16,52612247,52614637,449,985,+,URS00022B3B4F_9606
chr16,54245545,54270879,365,124,-,URS00007E4D1B_9606
chr16,55426796,55462297,123,89,-,URS0000BC4636_9606
chr16,68644246,68646168,190,1494,-,URS00007658A5_9606
chr16,69727012,69742563,163,429,+,URS00004A85FA_9606
chr16,70315639,70346747,549,160,-,URS000075AE5D_9606
chr16,70755094,70773251,155,75,+,URS0000D77FC1_9606
chr16,71410440,71426464,304,131,-,URS0000BC43FC_9606
chr16,72280901,72664970,79,81,-,URS0000D77FFD_9606
chr16,72665132,72821654,201,84,+,URS00021ED9E2_9606
chr16,73092348,73093773,637,131,+,URS000075E6F4_9606
chr16,79797834,79827150,163,675,-,URS00021231F7_9606
chr16,85935275,85936223,115,640,-,URS00022B37CB_9606
chr16,86196180,86199718,232,207,+,URS000075C5C7_9606
chr16,86286430,86293389,119,80,+,URS000075D697_9606
chr16,88194280,88195217,231,116,+,URS000075D300_9606
chr16,88560102,88561983,480,121,-,URS0000BC44B2_9606
chr16,88731179,88741425,269,585,+,URS000075EEBC_9606
chr17,1516918,1518096,175,379,+,URS000075B2EC_9606
chr17,4610448,4617647,385,885,+,URS0000ABD849_9606
chr17,10383131,10625540,76,91,+,URS00007E4CFC_9606
chr17,15104984,15106187,160,559,-,URS000075AC97_9606
chr17,16988328,16990176,195,136,+,URS0000BC44AB_9606
chr17,19154645,19162624,180,94,-,URS0000E60A59_9606
chr17,20612977,20633251,215,78,-,URS0000BC4466_9606
chr17,20868526,20905226,159,203,+,URS0000E60B33_9606
chr17,27928923,27991707,315,106,-,URS0000BC44F4_9606
chr17,28599132,28617377,114,158,+,URS000075B48C_9606
chr17,31571140,31575659,221,91,+,URS00007C6E21_9606
chr17,35568113,35574313,388,437,+,URS0000A773AA_9606
chr17,36088292,36090134,319,796,+,URS00001A9A2E_9606
chr17,40819184,40836274,95,85,+,URS0000E60A4D_9606
chr17,43369844,43388898,610,388,-,URS000075DFE4_9606
chr17,43444706,43451197,202,301,+,URS0000BC43BE_9606
chr17,46193572,46196723,166,356,+,URS000075ED2D_9606
chr17,48046880,48048053,429,90,-,URS0002123158_9606
chr17,48628697,48634932,161,382,+,URS0002123147_9606
chr17,50866678,50868371,539,876,+,URS000075F043_9606
chr17,51312608,51335162,817,407,-,URS000075C28C_9606
chr17,51435426,51445802,270,196,+,URS0000BC455F_9606
chr17,52985504,52987652,217,87,+,URS0000EEACB0_9606
chr17,57078295,57085024,185,1115,-,URS00022AE97E_9606
chr17,60079308,60088692,164,532,+,URS0000A76B7C_9606
chr17,68101554,68135929,405,116,+,URS000075B18A_9606
chr17,72021850,72025979,82,152,-,URS000075C0E6_9606
chr17,72403321,72592804,602,97,-,URS000075D66E_9606
chr17,73786821,73800795,993,123,+,URS000075BBEB_9606
chr17,77088642,77094986,307,119,+,URS000075E632_9606
chr17,81311264,81330674,531,74,-,URS0001980FCD_9606
chr17,81375437,81385382,254,100,-,URS0000EEAC9B_9606
chr17,82453180,82458521,105,111,-,URS00025EA1CB_9606
chr18,12073,15930,310,204,+,URS0000BC462B_9606
chr18,649619,658291,450,345,-,URS00021231D4_9606
chr18,3255434,3261818,548,82,-,URS0000D5764B_9606
chr18,3962351,4013943,79,113,+,URS00005527E9_9606
chr18,5238098,5246508,951,115,+,URS00003F999A_9606
chr18,5748817,5795901,147,177,+,URS00001FE470_9606
chr18,6256743,6260934,130,143,+,URS000075CEE6_9606
chr18,6728926,6729862,143,242,-,URS0000A77639_9606
chr18,9310521,9334445,309,91,-,URS0000EF54F4_9606
chr18,9614806,9619363,208,138,+,URS000075D56F_9606
chr18,12739484,12749422,130,446,-,URS000075B8C8_9606
chr18,13419498,13427534,155,182,-,URS000075C448_9606
chr18,14877797,14884050,134,125,+,URS00021231D5_9606
chr18,23994214,24015460,157,125,-,URS000075A8A0_9606
chr18,24932773,24987979,623,874,-,URS0000BC44F2_9606
chr18,36180001,36187435,201,389,-,URS0000A76CE5_9606
chr18,39841708,39889993,204,96,+,URS0000CCE026_9606
chr18,42186667,42691424,95,163,+,URS000075B00D_9606
chr18,51392040,51562469,217,295,+,URS000046ECC3_9606
chr18,57054557,57072119,217,195,-,URS00007681C7_9606
chr18,57630330,57669283,188,494,+,URS0000EEACA1_9606
chr18,58446262,58450604,75,232,+,URS0002123229_9606
chr18,58670008,58671873,405,800,-,URS0000EEACD1_9606
chr18,63367294,63381631,565,255,+,URS00022B14B1_9606
chr18,64213082,64260055,141,302,-,URS000075C66D_9606
chr18,70630518,70650954,345,179,-,URS0000E60ADB_9606
chr18,71519963,71578956,150,98,-,URS000075EF78_9606
chr18,72869039,72881399,101,148,+,URS0000A77148_9606
chr18,73154057,73264498,259,106,-,URS000075EA6E_9606
chr18,73324940,73349889,253,117,+,URS000075B4BA_9606
chr18,76528654,76559827,309,81,+,URS000075AA0D_9606
chr18,76794731,76822295,280,88,-,URS000075A384_9606
chr18,80147923,80171733,331,88,+,URS000075E54F_9606
chr19,566819,571774,78,157,-,URS00022B8684_9606
chr19,1267470,1270260,436,920,-,URS000075D59F_9606
chr19,3141574,3155175,159,1176,-,URS00001ADF52_9606
chr19,8374375,8390691,683,106,-,URS000075D986_9606
chr19,15827006,15828180,834,218,-,URS0002184DC4_9606
chr19,15828946,15836321,392,102,+,URS000075D6E2_9606
chr19,19756371,19776413,87,109,-,URS000075C943_9606
